일자,요일,city,교통량
20170129,일,강동구,1456.5833332333334
20170129,일,강서구,761.021357425
20170129,일,관악구,876.5679346
20170129,일,광진구,916.1638291
20170129,일,구로구,541.8031148399999
20170129,일,금천구,1063.3422997999999
20170129,일,노원구,1380.9941576600002
20170129,일,도봉구,897.0744325000001
20170129,일,동대문구,2453.458333
20170129,일,동작구,2752.5625
20170129,일,마포구,2177.55208325
20170129,일,서대문구,971.62169445
20170129,일,서초구,1865.1274927699997
20170129,일,성동구,1203.47420814
20170129,일,성북구,1327.7863354200001
20170129,일,송파구,1144.78080826
20170129,일,양천구,1788.902546425
20170129,일,영등포구,1287.1107306125
20170129,일,용산구,1356.6845239571428
20170129,일,은평구,971.4196107000001
20170129,일,종로구,801.2825795699999
20170129,일,중구,623.357793795
20170129,일,중랑구,1462.0077687
20170130,월,강남구,1620.8530047444447
20170130,월,강동구,1486.3611111
20170130,월,강서구,800.4004361249999
20170130,월,관악구,935.25000015
20170130,월,광진구,1059.49971245
20170130,월,구로구,611.6698915800001
20170130,월,금천구,1236.596203175
20170130,월,노원구,1455.780834
20170130,월,도봉구,1028.3805145000001
20170130,월,동대문구,2379.541667
20170130,월,동작구,2777.2916670000004
20170130,월,마포구,2278.27083325
20170130,월,서대문구,1135.85383855
20170130,월,서초구,1878.4088056
20170130,월,성동구,1313.82261894
20170130,월,성북구,1387.4283675399997
20170130,월,송파구,1232.79861114
20170130,월,양천구,1981.1286221750001
20170130,월,영등포구,1416.0158918000002
20170130,월,용산구,1373.25
20170130,월,은평구,1083.8573298666668
20170130,월,종로구,849.0907060100001
20170130,월,중구,819.9402103283334
20170130,월,중랑구,1494.3466195
20170131,화,강남구,2006.8167114444445
20170131,화,강동구,1722.642435
20170131,화,강서구,1012.4583084999999
20170131,화,관악구,1202.1547524
20170131,화,광진구,1479.6150015
20170131,화,구로구,697.57804936
20170131,화,금천구,1338.77883735
20170131,화,노원구,1607.19235664
20170131,화,도봉구,1130.50122535
20170131,화,동대문구,2751.125
20170131,화,동작구,3400.1323785000004
20170131,화,마포구,2824.0625
20170131,화,서대문구,1304.184814125
20170131,화,서초구,2257.67928823
20170131,화,성동구,1692.8934526
20170131,화,성북구,1642.5503034
20170131,화,송파구,1499.6232862399997
20170131,화,양천구,2107.1600372
20170131,화,영등포구,1744.9518133750003
20170131,화,용산구,1727.541666614286
20170131,화,은평구,1161.3648472000002
20170131,화,종로구,1019.0935965699998
20170131,화,중구,943.9184828608335
20170131,화,중랑구,1587.9468815
20170201,수,강남구,2123.109745111111
20170201,수,강동구,1813.722222333333
20170201,수,강서구,1175.7071553
20170201,수,관악구,1280.14050405
20170201,수,광진구,1620.969114
20170201,수,구로구,725.9189719799999
20170201,수,금천구,1350.83349815
20170201,수,노원구,1659.7925845999998
20170201,수,도봉구,1163.9007725000001
20170201,수,동대문구,2833.958333
20170201,수,동작구,3600.1041665000002
20170201,수,마포구,2983.13541675
20170201,수,서대문구,1364.5325101499998
20170201,수,서초구,2325.8690561999997
20170201,수,성동구,1788.6064694000002
20170201,수,성북구,1714.90668524
20170201,수,송파구,1512.6559862
20170201,수,양천구,2116.147018325
20170201,수,영등포구,1845.3836021250002
20170201,수,용산구,1881.1488095285713
20170201,수,은평구,1177.3278477666665
20170201,수,종로구,1040.470093
20170201,수,중구,999.3974985733333
20170201,수,중랑구,1639.7506395
20170202,목,강남구,2160.611648555556
20170202,목,강동구,1839.625
20170202,목,강서구,1169.560716625
20170202,목,관악구,1301.34473015
20170202,목,광진구,1644.50764495
20170202,목,구로구,730.89582062
20170202,목,금천구,1367.0695154
20170202,목,노원구,1666.8195382000001
20170202,목,도봉구,1159.9153110000002
20170202,목,동대문구,2824.375
20170202,목,동작구,3613.8125
20170202,목,마포구,3011.8645835
20170202,목,서대문구,1395.083336375
20170202,목,서초구,2328.1796142
20170202,목,성동구,1694.2498661999998
20170202,목,성북구,1756.1918690999998
